#header: N, best P naive algorithm , best P for enhanced algorithm if any

####
3620000   ,  [59],   XXX
3630000   ,  [59],   XXX
3640000   ,  [59],   XXX
3650000   ,  [59],   XXX
3660000   ,  [59],   XXX
3670000   ,  [60],   XXX
3680000   ,  [60],   XXX
3690000   ,  [60],   XXX
3700000   ,  [60],   XXX
3710000   ,  [60],   XXX
3720000   ,  [60],   XXX
3730000   ,  [60],   XXX
3740000   ,  [60],   XXX
3750000   ,  [60],   XXX
3760000   ,  [60],   XXX
3770000   ,  [60],   XXX
3780000   ,  [60],   XXX
3790000   ,  [61],   XXX
3800000   ,  [61],   XXX
3810000   ,  [61],   XXX
3820000   ,  [61],   XXX
3830000   ,  [61],   XXX
3840000   ,  [61],   XXX
3850000   ,  [61],   XXX
3860000   ,  [61],   XXX
3870000   ,  [61],   XXX
3880000   ,  [61],   XXX
3890000   ,  [61],   XXX
3900000   ,  [61],   XXX
3910000   ,  [62],   XXX
3920000   ,  [62],   XXX
3930000   ,  [62],   XXX
3940000   ,  [62],   XXX
3950000   ,  [62],   XXX
3960000   ,  [62],   XXX
3970000   ,  [62],   XXX
3980000   ,  [62],   XXX
3990000   ,  [62],   XXX
4000000   ,  [62],   XXX
4010000   ,  [62],   XXX
4020000   ,  [62],   XXX
4030000   ,  [62],   XXX
4040000   ,  [63],   XXX
4050000   ,  [63],   XXX
4060000   ,  [63],   XXX
4070000   ,  [63],   XXX
4080000   ,  [63],   XXX
4090000   ,  [63],   XXX
4100000   ,  [63],   XXX
4110000   ,  [63],   XXX
4120000   ,  [63],   XXX
4130000   ,  [63],   XXX
4140000   ,  [63],   XXX
4150000   ,  [63],   XXX
4160000   ,  [63],   XXX
4170000   ,  [64],   XXX
4180000   ,  [64],   XXX
4190000   ,  [64],   XXX
4200000   ,  [64],   XXX
4210000   ,  [64],   XXX
4220000   ,  [64],   XXX
4230000   ,  [64],   XXX
4240000   ,  [64],   XXX
4250000   ,  [64],   XXX
4260000   ,  [64],   XXX
4270000   ,  [64],   XXX
4280000   ,  [64],   XXX
4290000   ,  [64],   XXX
4300000   ,  [65],   XXX
4310000   ,  [65],   XXX
4320000   ,  [65],   XXX
4330000   ,  [65],   XXX
4340000   ,  [65],   XXX
4350000   ,  [65],   XXX
4360000   ,  [65],   XXX
4370000   ,  [65],   XXX
4380000   ,  [65],   XXX
4390000   ,  [65],   XXX
4400000   ,  [65],   XXX
4410000   ,  [65],   XXX
4420000   ,  [65],   XXX
4430000   ,  [66],   XXX
4440000   ,  [66],   XXX
4450000   ,  [66],   XXX
4460000   ,  [66],   XXX
4470000   ,  [66],   XXX
4480000   ,  [66],   XXX
4490000   ,  [66],   XXX
4500000   ,  [66],   XXX
4510000   ,  [66],   XXX
4520000   ,  [66],   XXX
4530000   ,  [66],   XXX
4540000   ,  [66],   XXX
4550000   ,  [66],   XXX
4560000   ,  [66],   XXX
4570000   ,  [67],   XXX
4580000   ,  [67],   XXX
4590000   ,  [67],   XXX
4600000   ,  [67],   XXX
4610000   ,  [67],   XXX
4620000   ,  [67],   XXX
4630000   ,  [67],   XXX
4640000   ,  [67],   XXX
4650000   ,  [67],   XXX
4660000   ,  [67],   XXX
4670000   ,  [67],   XXX
4680000   ,  [67],   XXX
4690000   ,  [67],   XXX
4700000   ,  [68],   XXX
4710000   ,  [68],   XXX
4720000   ,  [68],   XXX
4730000   ,  [68],   XXX
4740000   ,  [68],   XXX
4750000   ,  [68],   XXX
4760000   ,  [68],   XXX
4770000   ,  [68],   XXX
4780000   ,  [68],   XXX
4790000   ,  [68],   XXX
4800000   ,  [68],   XXX
4810000   ,  [68],   XXX
4820000   ,  [68],   XXX
4830000   ,  [68],   XXX
